,Bio,Hashtags,Location,Location Coordinates,Mentions,Name,Number Following,Number of Followers,Number of Tweets,Time,Tweet,Tweet ID,Username,Web
1638,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,FionaKabuki,JamessReality,38298,43123,154882,Mon Jul 08 22:46:05 +0000 2019,@FionaKabuki No my Reality is what is happening in the world your reality is whatever Nicola Sturgeon decides it will be,1148362648205090817,🔥👨‍💻JamessReality💻🔥™,
1639,"PhD, MSc's in Technology.
#Conservative  #FreeSpeech #Politics #Democracy #Director Pro #Brexit  #AntiDeathPenalty https://t.co/svp0ZPEWie",,"South Yorkshire, UK",,FionaKabuki,JamessReality,38298,43123,154882,Mon Jul 08 22:42:26 +0000 2019,@FionaKabuki That's Nicola Sturgeon but don't tell anybody,1148361727895056384,🔥👨‍💻JamessReality💻🔥™,
1641,"Professor de Sociologia.
Molt tocat per la tramuntana!",,"Catalunya,Unió Europea",,,c_regl,285,261,52953,Mon Jul 08 22:29:18 +0000 2019,"Sturgeon: ""El futur de Catalunya s'ha de decidir a les urnes, no als tribunals"" https://t.co/tiKN2vRYLg",1148358426159919105,Carles Reglà C.,https://t.co/tiKN2vRYLg
1645,Nil,,Edinburgh,,Wais_together Kenister626 LWhitson16 theSNP,2351onthelist,562,4774,540883,Mon Jul 08 22:04:06 +0000 2019,"@Wais_together @Kenister626 @LWhitson16 @theSNP We’ll see. It accompanies Sturgeon’s preparations for another referendum, and it’s clear that SNP people see it as a way to promote separatism. The professionals may well be people of good will, but they are up against wily professional politicians.",1148352084653293568,Historywoman,
1653,🕊 We set ourselves free And now we'll be forever wandering,,Glasgow,,,ropoem,1547,2211,101308,Mon Jul 08 15:12:10 +0000 2019,Tories are obsessed with the Scottish First Minister 😂 https://t.co/U2c1Kt5Opd,1148248416658558976,ropoem,https://t.co/U2c1Kt5Opd
1655,"Fate,, up against your will, Through the thick and thin",DissolveTheUnion,,,suleskerry,king0scots1,4997,2158,10327,Mon Jul 08 11:45:24 +0000 2019,"@suleskerry His party leader Ruth Davidson, made her EU election campaign an anti indyref2 campaign, Vote Tory to send Nicola Sturgeon a message, her own constituency voted SNP.
#DissolveTheUnion",1148196381846376448,Tex Thomson,
1661,"Adult human female, Scottish",,"Scotland, United Kingdom",,Indy_Leya scarycath,Mscots79,1919,1156,11119,Sun Jul 07 23:21:54 +0000 2019,@Indy_Leya @scarycath I don’t trust Nicola Sturgeon 1 bit.,1148009273470935040,Michelle Thomson 🏁,
1668,Mammy to Mr Fionn n an ASBO dug. Don't ever say it cannae get worse. Never underestimate the power of laughter.,,"Glasgow, Scotland",,UKChange,Bonbononeill1,518,434,3244,Sun Jul 07 12:34:21 +0000 2019,"First Minister, Nicola Sturgeon.: Release all the Catalan Political Prisoners, being held by Spain. Free them now. - Sign the Petition! https://t.co/pGgGTfJHb3 via @UKChange",1147846312576135168,Bonbononeill,https://t.co/pGgGTfJHb3
1673,Latest and breaking news update from authentic news source.,,France,,,TimesEurope,26,110,41383,Sat Jul 06 18:28:39 +0000 2019,‘Brexit is end of SNP’ Former MEP delivers brutal blow to Sturgeon’s independence plans https://t.co/6cc98h2QZ0,1147573088655159296,Times of News Europe,https://t.co/6cc98h2QZ0
1674,Latest and breaking news update from authentic news source.,,France,,,TimesEurope,26,110,41383,Sat Jul 06 18:28:39 +0000 2019,‘Brexit is end of SNP’ Former MEP delivers brutal blow to Sturgeon’s independence plans https://t.co/aNdumt4z3k,1147573086398623744,Times of News Europe,https://t.co/aNdumt4z3k
1676,No DMs.,,Central,,,ChristineF0wler,651,434,7097,Sat Jul 06 17:35:15 +0000 2019,https://t.co/WYazmifDXn https://t.co/LgJHEo2UiF,1147559648721014784,Chris🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺❄️,https://t.co/WYazmifDXn
1678,Breaking News and UK Newspaper content 🇬🇧,,"London, England",,,NewsEuropa,724,945,23256,Sat Jul 06 15:02:57 +0000 2019,⭐ 'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans - Express  ⭐ https://t.co/oCid7iwWlZ,1147521323054379009,PressNews.uk 🇬🇧,https://t.co/oCid7iwWlZ
1679,"His deep interest in the world isn’t just hinterland, it’s who he is.",,Stockholm,,,daveylittle,1929,2025,69654,Sat Jul 06 13:26:17 +0000 2019,Nicola Sturgeon was FM in 2014 https://t.co/Hw2HCRwNhJ,1147496994933551104,davey twittle,https://t.co/Hw2HCRwNhJ
1680,Press News from around the world,,"London, England",,,press_pool,93,95,15376,Sat Jul 06 12:14:32 +0000 2019,"⭐ 'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans - Express ⭐ 
https://t.co/K5ctQVHSb3",1147478938932920321,PRESS.international,https://t.co/K5ctQVHSb3
1682,@brexitparty_uk Former Member of European Parliament for Scotland (2014-2019). British Unionist & Secular Libertarian #Trident #AynRand #FreeSpeech,,Kingdom of Fife,,,Coburn4Brexit,15392,20086,145583,Sat Jul 06 11:18:58 +0000 2019,https://t.co/LPfzQBdmCu,1147464952199962624,David Coburn,https://t.co/LPfzQBdmCu
1687,This is a semi automated account though we'll tweet stuff occasionally of interest to us,,"Govan, Scotland",,,GovanSnp,676,462,20951,Sat Jul 06 07:03:24 +0000 2019,"R/T ScotNational Not best pleased.

https://t.co/MeyGBMTqJt",1147400639913353216,Govan SNP,https://t.co/MeyGBMTqJt
1688,The world's most influential architecture and design magazine.,,London,,,dezeen,15108,937101,109323,Sat Jul 06 05:23:01 +0000 2019,Scotland's first minister prioritises design with rotating exhibition: https://t.co/tV7W0K3lr3 https://t.co/LeAsTD17iA,1147375374139035648,Dezeen,https://t.co/tV7W0K3lr3
1690,Not everyone's cup of tea.,,,,,ducksandchucks,776,1408,138620,Fri Jul 05 21:12:18 +0000 2019,Sturgeon thinks she can wrangle a successful Scottish independence vote.  Not when oil is at this price she can’t.,1147251884094365697,Ducks,
1692,"Love Perthshire, have travelled far but here is best for me. I'm BBC free and BT free, can't wait to be Westmonster free! 🦄",,"Perthshire, Scotland",,,The_Lady_Driver,755,131,2759,Fri Jul 05 20:07:51 +0000 2019,He completely misses the point that Nicola Sturgeon and the Scottish Government and the parliament have been voted into their posts by the people of Scotland - so he clearly doesn’t believe in democracy. https://t.co/nJN3xArqPs,1147235663831535617,Marian Wallace,https://t.co/nJN3xArqPs
1693,I am openly gay and have a disability - all opinions are my own I Married my partner on the 14/04/14.  I am an aspiring solicitor currently studying the LPC .,crystalmaze,"Brackley, England",,,robpw2,3821,1329,95916,Fri Jul 05 19:31:29 +0000 2019,Susan calmans other character is Nicola sturgeon ..  #crystalmaze,1147226513026310145,Rob Gilbert-Warsop,
1701,I have a great love for Scotland and hope to help in returning her to her rightful position in the world as a nation among nations.SAOR ALBA! RT's 0endorsements,,Argyll,,,45albannach,7608,7004,150006,Fri Jul 05 14:14:35 +0000 2019,https://t.co/HG8uD08i1J,1147146763352059904,oor bonnie blue flag bot#FBPE #FBSI,https://t.co/HG8uD08i1J
1702,🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿The world is what you make it @Thesnp #IndyRef2 #ScotRef #Yes #UnityRef #FBSI #ScotsLaw trolls blocked #DissolveTheUKUnion 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,,"East Kilbride,Scotland",,,pjwoodside,5004,3173,48639,Fri Jul 05 13:55:47 +0000 2019,https://t.co/Kc3iAHQcrK,1147142028960108544,🏴󠁧󠁢󠁳󠁣󠁴󠁿Patrick_Woodside🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,https://t.co/Kc3iAHQcrK
1703,🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿The world is what you make it @Thesnp #IndyRef2 #ScotRef #Yes #UnityRef #FBSI #ScotsLaw trolls blocked #DissolveTheUKUnion 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,,"East Kilbride,Scotland",,,pjwoodside,5004,3173,48639,Fri Jul 05 13:35:16 +0000 2019,https://t.co/XOrB9QDIBM,1147136867135053829,🏴󠁧󠁢󠁳󠁣󠁴󠁿Patrick_Woodside🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,https://t.co/XOrB9QDIBM
1704,Love Scotland its been my home for 13 years ..Cherry on top will be Independence from corrupt abusive WM control,,Kinross,,,blondiesa,5001,3046,157647,Fri Jul 05 12:34:07 +0000 2019,Scroll down to bottom.of page to see correction https://t.co/RvtjuIbU0X,1147121477944324096,Blondiesa #DissolveTheUnion #UseTheMandate,https://t.co/RvtjuIbU0X
1709,Ex-Soldier. Dundonian. Former Scottish Conservative Parliamentary Candidate in GE2017. #LeaveEU @ScotTories #CertaCito,,Glasgow,,VickiPMcKellar,SCJohnston,455,1808,59924,Fri Jul 05 08:42:06 +0000 2019,"@VickiPMcKellar Nicola Sturgeon is the least competent political leader in the western world, a low bar.  She couldn't run a bath.",1147063087163420673,Stephen C Johnston 🇬🇧🇬🇷🇦🇺,
1718,I am a laundress and handspinner living in the Outer Hebrides. I don't reply to folks who are rude.,,Isle of Scalpay,,mitchx36 ElizabethJBond,hebrideanlamb,660,464,3983,Fri Jul 12 23:38:57 +0000 2019,@mitchx36 @ElizabethJBond Nicola Sturgeon,1149825502238183425,Sheila Roderick,
1719,SNP ARE NOT SCOTLAND #SNPOUTNOW,,"Edinburgh, Scotland",,,LWhitson16,1284,872,45866,Fri Jul 12 23:24:15 +0000 2019,Excellent.. 👉https://t.co/nebk9u7OlY,1149821805043048450,L.Whitson,https://t.co/nebk9u7OlY
1720,"Not Roberts daughter! Guitar, Bass, Drums, Scottish Independence, Queer/Human rights, Environment. Not always in that order. Not always those things. (She/her)",,Glasgow. Scotland.,,ElizabethJBond,AmyRedford,4069,2926,23757,Fri Jul 12 23:22:51 +0000 2019,@ElizabethJBond Nicola Sturgeon,1149821454172774408,Amy Redford 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏳️‍🌈,
1725,New Internationalist subscriber many years ago. Nationalism is an anachronism. And only a nationalist assumes their critics are a different sort of nationalist.,,,,,JustOneWeeWorld,963,2135,48166,Fri Jul 12 22:48:17 +0000 2019,Nicola Sturgeon has fallen into a trap of her own making https://t.co/Q1vmYUxbfM,1149812754561359873,Old Internationalist,https://t.co/Q1vmYUxbfM
1728,"Mission Partner, Church of Scotland/Methodist to United Church of Zambia. Educationalist.",,"Lusaka, Zambia",,AbbieAJ pguk10 BBCNews,waddell_keith,390,159,10600,Fri Jul 12 22:09:37 +0000 2019,@AbbieAJ @pguk10 @BBCNews The same way in which the the Scottish First Minister is referred to as (Nicola) Sturgeon and the Scottish Government as the SNP-Government.,1149803021553098753,Keith Waddell,
1729,"Politics junkie.  Sometimes funny, often sarcastic, regular swearing. Dreadful influence. Can't stay away from Twitter no matter how hard I try",,Glasgow,,KirstyStricklan,cee4cat,943,3405,95605,Fri Jul 12 22:06:23 +0000 2019,@KirstyStricklan I KNEW IT! You're Nicola Sturgeon in disguise,1149802207279271936,Simone,
1732,"Brexiteer,",,"Aberdeen, Scotland",,Nikkipage44,abz_bell,245,60,1077,Fri Jul 12 22:02:42 +0000 2019,"@Nikkipage44 I'm offended by having Nicola sturgeon as FM of Scotland, that's gotta be worth a few 100k?",1149801282917605376,G.Bell.ABZ,
1735,"We shall not, we shall not be wooed. Not by the Natz, the Corbyns or the Brexiteers. We shall not be wooed!!",,,,lokiscottishrap,pkelly67,1942,737,33233,Fri Jul 12 22:01:50 +0000 2019,@lokiscottishrap When have you seen sturgeon subjected to that level of scrutiny by the Scottish media? Answer: You haven’t. Shills and placemen.,1149801062892744704,pat,
1738,A man of leisure.,,"Edinburgh, Scotland",,,OvalBalll,850,386,17104,Fri Jul 12 21:49:51 +0000 2019,Which major league country is he trying to run? Surely Nicola Sturgeon is not quitting?!!! https://t.co/D9XyhPgqS3,1149798048727482369,Disco Deek,https://t.co/D9XyhPgqS3
1739,"'Ello, 'ello, 'ello.

Watcher. Listener. Armchair critic. Mid-century modern nostalgist. 
More relaunches than a pub under new management.",greeninkgang DissolveTheUnion,"Glasgow, Scotland",,,wotsallthisere,269,104,8919,Fri Jul 12 21:45:03 +0000 2019,"Jesus Christ, the #greeninkgang has been at that batch of street Valium. #DissolveTheUnion  https://t.co/xoZxj9YZgF",1149796841858523136,Constable Painting,https://t.co/xoZxj9YZgF
1740,,NewAmbassador stillno,"Scotland, United Kingdom",,TheLastLeg,GeorgeForsyth5,115,10,33,Fri Jul 12 21:33:13 +0000 2019,"@TheLastLeg #NewAmbassador gotta be Nicola Sturgeon aka Jimmy Krankie, let’s see her try to get indyref2 from Washington #stillno",1149793861318905863,George Forsyth,
1754,"Fighting for an independent Scotland for my daughter, our kids & next generation",,Valhalla,,amcarmichaelMP NewsOrkney Shetnews ScotNational WingsScotland orkneycom OrkneyCouncil PromoteShetland AUOBSCOT,RST1317,522,442,11682,Fri Jul 12 20:27:46 +0000 2019,I wonder will you now come out &amp; tell your constituents &amp; Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 that you are a liar @amcarmichaelMP 🤔🤔 we remember your wee French lie https://t.co/ZtvoAe6ff3 @NewsOrkney @Shetnews @ScotNational @WingsScotland @orkneycom @OrkneyCouncil @PromoteShetland   @AUOBSCOT https://t.co/abj1H2kX7g,1149777389360230400,Rs,https://t.co/ZtvoAe6ff3 https://t.co/abj1H2kX7g
1755,,,República de Catalunya,,change_es,AlbeMontgrony,951,400,22907,Fri Jul 12 20:27:37 +0000 2019,"First Minister, Nicola Sturgeon.: Release all the Catalan Political Prisoners, being held by Spain. Free them now. - ¡Firma la petición! https://t.co/pxGbhSqCfU via @change_es",1149777352496492546,Montgrony,https://t.co/pxGbhSqCfU
1757,"Catalan-American Freethinker. Humanist, Secular, Reason, Science. Free Catalunya. 
I do not want to believe. I want to KNOW!       ⭐️",,"Belmont, CA",,Change,Eduair,5711,5229,31525,Fri Jul 12 20:14:15 +0000 2019,"First Minister, Nicola Sturgeon.: Release all the Catalan Political Prisoners, being held by Spain. Free them now. - Sign the Petition! https://t.co/qGunPMpXHl via @Change",1149773990719660032,Eduair🎗,https://t.co/qGunPMpXHl
1758,"Ens volem vives,lliures i rebels!",,"Sant Cugat, Catalunya",,change_es,anna_rigol,687,260,3489,Fri Jul 12 20:11:28 +0000 2019,"First Minister, Nicola Sturgeon.: Release all the Catalan Political Prisoners, being held by Spain. Free them now. - ¡Firma la petición! https://t.co/RJxHywzB2n via @change_es",1149773288094281738,Anna Rigol,https://t.co/RJxHywzB2n
1759,,,,,change_es,pepegotera65,4946,3862,25171,Fri Jul 12 20:07:15 +0000 2019,"First Minister, Nicola Sturgeon.: Release all the Catalan Political Prisoners, being held by Spain. Free them now. - ¡Firma la petición! https://t.co/MmEsu3D7NM vía @change_es",1149772229263220737,🎗pepe gotera🎗,https://t.co/MmEsu3D7NM
1760,"Motorbikes, Partick Thistle and Scottish Independence. Retweets not necessarily an endorsement.",,"Knightswood, Glasgow.",,TwizzleStick73 J4cobite Glostermeteor RowlandBrexitSE brexitparty_uk,Jagsfan1876otig,56,351,13833,Fri Jul 12 20:03:22 +0000 2019,"@TwizzleStick73 @J4cobite @Glostermeteor @RowlandBrexitSE @brexitparty_uk Alex Salmond led the campaign for independence in 2014, not Nicola Sturgeon, and the once in a lifetime was a personal statement, not policy, it's nowhere in the Edinburgh Agreement. The campaign was won by lies and false promises. Vote No to remain in the EU, near federal?",1149771249914195969,Brian Feeney,
1763,"C'est moi, accept no substitute. Poet, proud Scot, LFC fan, Queen/quality rock/pop music. SNP/indy. For poetry commissions contact my agent i.e. me ;-)",,Dundee and surrounds,,PhilipMurphy27,ErikZoha,5004,2144,85422,Fri Jul 12 19:56:22 +0000 2019,@PhilipMurphy27 Nicola Sturgeon in an indy Scotland,1149769487887011841,Erik LFC Zoha,
1767,Salut i República!,,"Lleida, República de Catalunya",,change_es,dindimene1981,3853,2456,9400,Fri Jul 12 19:39:14 +0000 2019,"First Minister, Nicola Sturgeon.: Release all the Catalan Political Prisoners, being held by Spain. Free them now. - ¡Firma la petición! https://t.co/7IqjqYjMYV via @change_es",1149765177258233860,Dindimene ll*ll 🎖️🎖🎗️ 🐱🔱 #NousRepublicans,https://t.co/7IqjqYjMYV
1779,"Ex RAF,moderate right of centre,Blocked by Lord Haw Haw Adonis.",,"London, England",,,alastairdick,4995,2684,61447,Fri Jul 12 19:19:52 +0000 2019,Nicola Sturgeon has fallen into a trap of her own making https://t.co/uOxUtz2no1,1149760302839287808,alastairdick❌#StandUp4Brexit,https://t.co/uOxUtz2no1
1780,Impatient Scottish Independence Supporter. #ScotIndy ASAP please. 💙 #DissolveTheUnion 💙,,"Glasgow, Scotland",,MFolgate GrahamGrumps,linannlum,2987,3998,282977,Fri Jul 12 19:19:30 +0000 2019,@MFolgate @GrahamGrumps Nicola Sturgeon 👍,1149760212947165184,Oor Lindy Indy2 💙,
1781,"Politics. History. Shakespeare. Adult Education. A snapper-up of unconsidered trifles. ""Aberdonian to my core"".",,"Scotland, United Kingdom",,,snapperup,2037,623,8739,Fri Jul 12 19:19:27 +0000 2019,Nicola Sturgeon has fallen into a trap of her own making https://t.co/64uQZt6Srj,1149760197449179137,Susan,https://t.co/64uQZt6Srj
1786,If there had been a yes vote in 2014 would separatists have supported no voters' calls for a 2nd vote ? Retweets not always endorsements .,,"Scotland, United Kingdom",,FionaHyslop eliz_lloyd,graciegrann,4912,2684,269771,Fri Jul 12 18:59:32 +0000 2019,@FionaHyslop @eliz_lloyd https://t.co/B8rnt9Wl4k,1149755184668696576,4575 on wing's block list level traitor,https://t.co/B8rnt9Wl4k
1787,If there had been a yes vote in 2014 would separatists have supported no voters' calls for a 2nd vote ? Retweets not always endorsements .,,"Scotland, United Kingdom",,FionaHyslop eliz_lloyd,graciegrann,4912,2684,269771,Fri Jul 12 18:59:23 +0000 2019,@FionaHyslop @eliz_lloyd https://t.co/PgrLFPFqjK,1149755149826609152,4575 on wing's block list level traitor,https://t.co/PgrLFPFqjK
1790,retired disabled/decomissioned space cadet,,renfrewshire,,SatyagrahAlba Cat5weaver wilma_mcewan,lunar0003,237,171,5489,Fri Jul 12 18:48:51 +0000 2019,@SatyagrahAlba @Cat5weaver @wilma_mcewan They’re not the only ones!  I don’t see Sturgeon launching an investigation on behalf of the Scottish people. My case is complex in that medical notes have been sanitized in a bid to dodge a criminal investigation. SOMEDAY!,1149752497159966721,Grumpy auld wumin,
1798,"MPlease don't just add me to groups, I'll only block it.  Ask first, thanks.",,Scotland,,,Ellajenny2,1671,1744,94424,Fri Jul 12 17:43:57 +0000 2019,https://t.co/K197bXplpF,1149736165454618624,Classy McCybernat!😊,https://t.co/K197bXplpF
1805,"🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿
The natural way for a country is to run its own affairs  EX labour now i am SNP and proud  Its Tory or #indyref2 That's all",,", Scotland not Britain",,,brawday,3038,4002,81512,Fri Jul 12 17:04:32 +0000 2019,Sturgeon: 'Next six months could be Scotland's toughest' https://t.co/7ZXlQEiBpl,1149726243891208192,Lady J of Tay,https://t.co/7ZXlQEiBpl
1812,Scottish and British a passionate believer in the Union... #bettertogether #ScottishConservatives,,"Scotland, United Kingdom",,,Bibbeth6,2861,1190,63320,Fri Jul 12 16:25:04 +0000 2019,Nicola Sturgeon has fallen into a trap of her own making https://t.co/3VpsExxUeh,1149716312320430082,Bibby Ayrshire,https://t.co/3VpsExxUeh
1816,"The best of our journalism. Subscribe here: https://t.co/hqesnSu5ky
Speak to our customer service team: https://t.co/VIDSflmdIL",,,,,thetimesscot,1372,5016,18851,Fri Jul 12 16:09:12 +0000 2019,Kenny MacAskill criticised Nicola Sturgeon’s “inept” handling of her last call for a ballot and said that new ideas were needed to force the Conservatives into agreeing a rerun of the 2014 vote https://t.co/uoooSLCmuk,1149712320756617216,The Times Scotland,https://t.co/uoooSLCmuk
1820,"One of the 55. No means No. Family and Spike, Rangers, UK of GB and NI, Scotland, Hill walking, Holidays, Days out,  current affairs, history etc.",,Perth Scotland,,,Ian_Burnett_,4576,4922,26434,Fri Jul 12 15:42:24 +0000 2019,Nicola Sturgeon was supportive of Westminster legislating on devolved issues in Northern Ireland. A point of precedent worth noting for future PMs.,1149705575355359232,Ian Burnett,
1821,"Official page of #TheFirstCasualty the #1 Best Selling ⭐⭐⭐⭐⭐ #Falklands War history book, plus the author himself and the Falklands conflict. Amazon link below:",,"Scotland, United Kingdom",,,FirstFalklands,1743,637,3797,Fri Jul 12 15:36:35 +0000 2019,"The truest words I've read... these bawbags could run a vaguely noisy protest a decade ago... a decade later, they still can't run a country. Time these people were kicked oot.

https://t.co/pDBABlr96H",1149704113841725443,The First Casualty - Falklands War History,https://t.co/pDBABlr96H
1823,"What makes you special, don't think too hard about it.....",,Glasgow,,Scotpol1314 Rachael2Win,StuartColeman16,164,38,4230,Sun Jul 14 19:26:22 +0000 2019,"@Scotpol1314 @Rachael2Win I get that all the time, the only argument the yoons have for the UK is, 'ah hate that nicola sturgeon' &amp; 'yeah but you're just anti-english' it drives me nuts",1150486715787862018,Stuart Coleman,
1827,EnochWasRight on Parler #Brexit #Bluehand #StopForeignAid #LookAfterOurOwn #Trump #MAGA #Rugby #Travel . Follow / Unfollow = reciprocated. No Lists!,,"North West, England",,Smithy1974Uk,TheCleaner13,2127,3031,21812,Sun Jul 14 18:59:48 +0000 2019,@Smithy1974Uk Leo Sayer and Nicola Sturgeon,1150480030813818886,Enoch #StandUp4Brexit,
1828,"A humble man from St Lucia (Mtubatuba), KZN. Doing a PhD at UKZN. A lecturer - Walter Sisulu University. BA, Honours & MA holder - UKZN & PGDM at Rhodes Univ.",,"ÜT: -29.87227,30.98392",,,Lunganee,694,830,19052,Sun Jul 14 18:53:55 +0000 2019,Some states are progressing https://t.co/FYQHC8ods4,1150478547171106818,Lungani Mthethwa,https://t.co/FYQHC8ods4
1831,"Work Hard, Play Harder",,"London, England",,piersmorgan patel4witham,Marco__Roth,73,37,627,Sun Jul 14 18:46:05 +0000 2019,@piersmorgan @patel4witham Has Nicola Sturgeon tweeted her congratulations?,1150476578809401344,MARCO ROTH,
1832,"Countryside lover, fresh air lover, hard worker, dad and grandad x4 now!, grump, happy and content, read the Times everyday, read books +++,  rant at the TV etc",,"Hartpury, Gloucestershire",,roastbeefjohnny,Danford2013,170,192,4955,Sun Jul 14 18:45:31 +0000 2019,"@roastbeefjohnny Well, you've got Nicola Sturgeon.",1150476433090895874,John McCarthy,
1833,Private investor and Scots patriot.,,'Scotland for ever and second to none.' 🏴󠁧󠁢󠁳󠁣󠁴󠁿,,Tonester_7,JamesMacEachern,1130,1139,51409,Sun Jul 14 18:40:15 +0000 2019,@Tonester_7 You had better tell Nicola Sturgeon that it's a fabrication as she's one of the EFA's leaders. You've just fabricated your 15% figure. You have to count EU regulations since they are EU laws that automatically become UK laws - UK hasn't made them and can't amend and repeal them. https://t.co/Xiovtaylh3,1150475108206690304,𝔍𝔞𝔪𝔢𝔰 𝔐𝔞𝔠𝔈𝔞𝔠𝔥𝔢𝔯𝔫 🏴󠁧󠁢󠁳󠁣󠁴󠁿,
1834,"Pro UK supporter, nation before Political Party. All views are my own.",,Breatainn Mhòr,,,macnahgalla,1937,2048,78982,Sun Jul 14 18:32:05 +0000 2019,What an end to the cricket. I wonder if there will be any congratulations for the England team from Nicola Sturgeon and the SNP.....🤣🤣🤣,1150473052146294785,Bryan,
1835,,,,,YouTube,graham080146,1283,648,6884,Sun Jul 14 17:56:22 +0000 2019,Nicola Sturgeon humiliated by Scottish Brexit Party MEP - ‘I represent a... https://t.co/VXxRD0Gijc via @YouTube,1150464064440676352,graham william hall,https://t.co/VXxRD0Gijc
1836,"Glasgow Rangers, Chelsea and Inverness Clachnacuddin Fan. Also Black Sabbath fan",,Inverness,,,drcherrypark,643,225,4008,Sun Jul 14 17:46:38 +0000 2019,"Theresa May at the cricket, nearly at as many England games as Nicola Sturgeon",1150461617655689217,Royal Blue,
1838,"I’m Trevor, #KingOf winner and maker of things to make people happy. All DMs & messages always welcome 🤗 LINE ID: bloozsingahh",,"Halstead, England",,Smithy1974Uk rentonMagaUK,EXDDesign,4484,4053,26371,Sun Jul 14 17:18:29 +0000 2019,@Smithy1974Uk @rentonMagaUK Alex Salmond &amp; Nicola Sturgeon,1150454531282690048,Trevor - Enterprise XD Design,
1840,"a 42 year old lorry driver & Grandad who loves cars, bikes, airplanes, all forms of motorsports and anything from back in the day",,London ,,Smithy1974Uk,JamieDeAth1,213,364,9270,Sun Jul 14 17:03:07 +0000 2019,@Smithy1974Uk Fred West &amp; Nicola Sturgeon,1150450664105025536,Jamie De'Ath,
1841,"Croatian patriot 🇭🇷, Katalonija nije Španjolska, anti globalist",,,,,Ljubica48,1650,920,11720,Sun Jul 14 16:58:49 +0000 2019,https://t.co/ugBXQUB6sS,1150449582666649601,L_Lily,https://t.co/ugBXQUB6sS
1842,There are other solutions.Beware of fake politicians.Fight harder or lose for our children democracy in E.U. I admire Giovanni Falcone.,,,,change_es,totsjunts,1389,208,13826,Sun Jul 14 16:53:59 +0000 2019,"First Minister, Nicola Sturgeon.: Release all the Catalan Political Prisoners, being held by Spain. Free them now. - ¡Firma la petición! https://t.co/56aym2qEhg via @change_es",1150448365047599104,Joan,https://t.co/56aym2qEhg
1844,General News Music News Politics sport hot rods,,"South West, England",,Smithy1974Uk,PeterAr94898290,114,10,1363,Sun Jul 14 16:45:08 +0000 2019,@Smithy1974Uk Nicola Sturgeon and Alex Salmond,1150446137792434176,100% Hammer,
1845,"After a brief adventure into the world of diesel power I've returned to the world of slurry - Sales Manager for BAUER-at, biker, and live music addict",,Lincolnshire,,Navara10NZO Smithy1974Uk,RobJackson66,1350,448,5836,Sun Jul 14 16:31:42 +0000 2019,@Navara10NZO @Smithy1974Uk The guy with Nicola Sturgeon is Leo Sayer 😀😀,1150442760241131520,Rob Jackson,
1846,"Award-winning novelist, filmmaker.  Gender and cultural activist.  Innovator, fearless. leader.  By Grace and Grace alone.",,Harare,,,efie41209591,99,13216,12051,Sun Jul 14 16:31:17 +0000 2019,"UBI is something I would fight for.
e https://t.co/jgrCuy6a2Y",1150442652996964352,Tsitsi Dangarembga,https://t.co/jgrCuy6a2Y
1847,"Director https://t.co/P1p54Le1I2 Actor, Arts Lecturer, playing Emily Davison @ANecessaryWoman, discovered Emily Davison footage @BFI",,The Weald,,Lucyspeed Smithy1974Uk,DeborahCBennett,227,126,571,Sun Jul 14 16:20:40 +0000 2019,@Lucyspeed @Smithy1974Uk Alex Salmond and Nicola Sturgeon. (As they were),1150439982550704128,Deborah@ClairObscur,
1848,"Proud GB,father to two wonderful girls ,grandfather to two beautiful granddaughters. No longer prepared to listen to D&G .",,,,Smithy1974Uk,ward_wardk4,776,2216,91546,Sun Jul 14 16:18:48 +0000 2019,@Smithy1974Uk Nicola Sturgeon And Tom Watson .,1150439510339182592,kevin just enjoying life now.,
1849,The UK's Leading Used Potato/Vegetable Grading & Machinery Handling Specialist. Life Time Boston Utd Fan. F1 Follower Since 1966. Still a Radio 1 listener.,,Spilsby Lincs,,Smithy1974Uk,Navara10NZO,825,567,4168,Sun Jul 14 16:09:55 +0000 2019,@Smithy1974Uk Not sure on top one but Nicola Sturgeon is the bottom one.,1150437276104740864,David Brackenbury,
